tidy_tweet,Sentiment
Congratulations to our CEO  who has been appointed a Member of the Order of Australia  AM  for significan  https   t co ypvOqwzGBg,Positive
Great turnout in Moree yesterday  https   t co llcmjgYM z,Positive
RT   Shout out to all #Wimmera #Mallee sports clubs  When it comes to tackling illegal drugs  it s important to have a game plan Th ,Negative
Local to Moree  An initiative led by the Moree Local Drug Action Team provides an opportunity for children to try t  https   t co EJbElB ihm,Positive
RT   In a clear indication of Australia s growing drug problem   caught more drug drivers than drink drivers duri ,Positive
RT   How has the Cracks in the Ice website helped you  Do you have feedback for how we can better serve your needs  Complete ,Positive
RT   On Drink Tank Summer Series   highlighting the growing scientific evidence showing the links between #alcohol and #cancer ,Positive
RT   With another death at a music festival this summer  health experts say enough is enough  It s time to end our moral pa ,Negative
Even in low doses  drugs can significantly reduce driving skills  Learn more about the effects below ,Negative
RT   What an inspirational night at the  #VAawards so proud of our   program  The Co ,Positive
The Local Drug Action Team Program s Supporting Teenagers toolkit outlines a number of evidence informed approaches  https   t co O GjJX xeY,Positive
Practical advice on supporting a loved one that may be struggling with dependence ,Positive
We ve just updated our pharmaceutical misuse resources with factsheets relevant for anyone with an interest in tack  https   t co  ldk lRvqU,Positive
RT   Did you know  The Red ribbon is a symbol of commitment to challenge the stigma and prejudice surrounding HIV AIDS  Sho ,Positive
Keen to get involved in the Local Drug Action Team Program by partnering up with local organisations  Our partnersh  https   t co  fwpOETwPy,Positive
With many young Australians in end of year celebration mode  we ve released a new resource to highlight the harms o  https   t co obp vM zxE,Negative
 Thank you for sharing ,Positive
RT   How much do you know about the  ice   Complete our survey to help improve an Australian website supporting people affec ,Positive
RT   Congratulations again to the      Good Sports Award winners and finalists  https   t co  wwmaffMGA,Positive
We welcome this funding for FASD initiatives  The tragic outcomes of #FASD are entirely preventable  The safest opt  https   t co MirLNv O G,Positive
Congratulations again to Dawn   A champion volunteer recognised  https   t co Fl oowvEUp via ,Positive
RT   Today s the big day  Are you ready for the       Good Sports Awards     Stay tuned to find out who our ,Positive
We had the pleasure of having a marquee with  at Wyndham Diwali over the weekend   Together we hosted ac  https   t co aMArFe nlV,Positive
RT   Invitation to the Local Drug Action Team LDAT  community consultation on alcohol related harm in and around Miller       pos ,Negative
  has developed free workplace resources to address alcohol and other drug issues in the heavy vehicle ind  https   t co oQTuYsr Bg,Positive
RT   Representing at the National Indigenous Football Championships in Nowra  https   t co  mNAuFyobf,Positive
RT   Are you concerned about mental health and substance use in rural youth  Join us for our #FREE webinar as we hear from expe ,Positive
RT   Excited to announce the next round of the highly successful LDAT program today  An opportunity for communities across Austra ,Positive
RT   Are you drinking too much  too often  The  shares a few things we all need to know about #alcohol and our bodi ,Positive
Thrilled to launch the latest Local Drug Action Team application round in Canberra this morning with   https   t co IApqETIZW ,Positive
Trust the alcohol industry to try to dispute the evidence around a minimum floor price for alcohol  It s fact that  https   t co Nze PsZZvN,Positive
Located near Byron Bay  BUDDI is looking for volunteers to help out at The Schoolies HUB  https   t co  v UnqwAC ,Positive
Amazing to see the Hepburn LDAT s   The Cook  The Chef and Us  project nominated as a finalist unde  https   t co LQopOB muZ,Positive
RT    Next March  we hope govts admit there is no progress in eliminating the global drug market  and move away from damaging  drug ,Positive
RT   We know that running a local sporting club is hard work  Good Sports is here to help  Join today and you could win     ,Positive
RT   Today is headspace day  Show your support and share what you do to maintain a healthy headspace using #headspaceday   Fo ,Positive
RT   The numbers don t lie   Read the research into #alcohol marketing during the      #AFL and #NRL Grand Finals  https    ,Positive
RT   You will find clear health warning labels on all gardening potting mix   its mandatory   But  you won t find any warning ,Positive
We welcome the roll out of  in Victoria and are calling on all jurisdictions across Australia to introdu  https   t co YMGWCVnZ a,Positive
RT   We re for healthier  more family friendly local sporting clubs   Is your club a Good Sports club  https   t co GsBzHbU ,Positive
   Thank you Margie ,Positive
RT   We re excited to announce          additional funding for Good Sports  thanks to the Tasmanian Government   This fundi ,Positive
A minimum floor price for alcohol will play an important role in helping to reduce problematic drinking and its rel  https   t co gJcrdnoJUD,Positive
More conversations around patron safety are urgently needed to help reduce the risk of alcohol related harms https   t co LthxrWi  q,Positive
How does the regional community of Hepburn help protect young people from alcohol and other drug harms  With The Co  https   t co bgikvQtJrY,Positive
RT   Passionate about ensuring sport promotes the right values and habits for kids  Get along to the  launc ,Positive
A big congratulations to  as they celebrate their   th anniversary  Twenty years ago  the Mirabel Foundat  https   t co q   cvpr d,Positive
RT   Only   month until our next webinar about supporting frontline workers  Presenters are Allan Trifonoff and Roger Nichol ,Positive
Fantastic work at the Medically Supervised Injecting Centre at   Since opening in July  staff have responde  https   t co  SYcLt  RQ,Positive
RT    Alcohol and drugs cost Australian workplaces an estimated    billion per year in lost productivity   Tips for a healt ,Negative
We support easier access to naloxone for people at risk of opioid overdoses  amp  their families  amp  friends  Naloxone ca  https   t co siIQ J fo ,Positive
Great to see the NSW Government  seeking advice around music festival safety  This is an important opportun  https   t co  dA VmCKdY,Positive
We re excited to share some of the amazing work happening in Bega Valley  https   t co kZKuVhLhKK via ,Positive
We support more pill testing trials because despite all efforts  people take drugs to festivals with the intent of  https   t co  Rp GXxFKk,Positive
 It s important for parents and carers to speak with their kids about FASD if they have it  help them understand th  https   t co ULQ h  iIl,Positive
Why diagnose FASD  why does it matter   Because it provides an unbelievable relief  Anne Russell speaking as a pane  https   t co j RjKBCDsc,Positive
RT   Excellent news   secondary supply laws tightened in Victoria providing more education around the supply of alcohol to minors ,Positive
