tidy_tweet,Sentiment
Worry does not empty tomorrow of its sorrow  it empties today of its strength    Corrie Ten Boom,Negative
RT   Adam wasn t lonely because he was imperfect but because he was perfect  The ache for friends is not the result of sin ,Positive
https   t co XI H mI  P careful  It s thick enough to paint with  ,Positive
   lied  A man might forget where he parks or where he lives  but he never forgets oral sex  no matter how bad it is  ,Negative
Lord     you have made us for yourself and our hearts are restless until they find their rest in you    St  Augustine,Negative
RT   We may impress people with our strengths but we connect with people through our weaknesses  #struggles #lifechurchtv,Positive
RT   Love is counting someone else s needs and interests as more important than your own needs or interests ,Positive
Let him kiss me with the kisses of his mouth  For your love is better than wine   Song of Solomon     ESV ,Positive
It s #WifeAppreciationDay  What are you doing for your lovely spouse ,Positive
 I fear only God     And one woman  ,Negative
  The myth of the seven year itch and the magnificence of lifelong marriage  http   t co sjVsoVhoJi,Positive
Women are made to be loved  not understood   Oscar Wilde,Positive
 saw a     grand marquis pull up  amp  thought   Oh  shoot I m going to have to go all tactical   But then I realized it was just the lawn guy  ,Positive
Happy wife  happy life ,Positive
 I like my scotch older than my wife   #Goodlife #Lagavulin  ,Positive
 I m going to take out the trash  Because you jumped my bones on the side of the road like a good woman  ,Positive
 Whew  Babe did you put on deodorant today     No  it scares the deer away    It also scares your WIFE away   #naturalbirthcontrol,Negative
RT   AJTTOTD  Gentlemen  do your woman a favor and moisturize  No one wants to play footsie with a couple of tree stumps  # ,Positive
More sex   less fights #YOMO #sextember,Negative
RT       of Psalms are laments  All of the OT prophets except   include a lament  The Bible doesn t avoid suffering  You won t a ,Negative
   quotes from the best marriage book  http   t co T i xQLYRi,Positive
Gospel  We re more sinful  amp  flawed than we ever dared believe  yet simultaneously we re more loved  amp  accepted n Jesus than we dared hope,Positive
Then I woke up in a panic  snuggling too close to my wife with her hair in my mouth  Being a cuddlewhore is its own punishment  amp  own reward ,Negative
I Had a terrible nightmare in which I had long hair like an unkempt Viking  The clippers broke when I tried to cut it  my knife failed too  ,Negative
An excellent wife is the crown of her husband  But she who shames him is like rottenness in his bones   Proverbs      NASB ,Positive
 You get hungry  then angry  then you get weepy  then you get your period and it just starts all over again    ,Negative
Marriage is the  surgical  operation by which a woman s vanity and a man s egotism are extracted without anesthetic  Helen Rowland,Negative
 I feel like faking your death is usually the best solution for most situations  wife  What     hubby  you know  in movies  just saying    ,Positive
 Where is the tooth brush    I wasn t going to bother tonight           aren t you a DENTIST  ,Positive
LOVE must be learned   amp  learned again  amp  again  there is no end to it  H  needs no instruction  but waits only   b provoked  Katherine Porter,Negative
My wife gave     of her income from      to the #enditmovement charities today  I was humbled  inspired  amp  proud  More in love every day  ,Positive
 Do u want to listen to this radio station  I don t like it so I figured it was your type of music     ,Negative
 Hunny  I love you and your capitalistic little heart  So much you don t even know  ,Positive
The  Lord  God said   It is not good for the man to be alone  I will make a helper suitable for him    Genesis      NIV   ,Positive
 Be careful bumping into me  You may wind up pregnant    ,Positive
Went on a run in this freezing weather together  Proud of my hubby  #marathon #fitness #theCoupleThatRunsTogetherStaysTogether   ,Positive
Blessed to spend Christmas at home  off work  cuddling with mi amor   #BlessedBeyondBelief,Positive
Hubby  end of the world sex    Wife  oh I think I ll take a nap until the end of the world    Hubby  I m a sad  ,Negative
Gotta love thrift store prices   And yes that is ur grandpa s jacket  http   t co OubH Xjk,Positive
RT   Be content with being who God wants you to be  You make a terrible someone else anyway ,Negative
My husbands unconditional love  amp  patience with me reminds me daily of Gods unfailing love that is ten times stronger  #ChristCentered,Positive
 I pray every day would be the proof that I mean what I say when I say  I do   ,Positive
 For better or for worse  are so much more than just words  #untildeath,Negative
 Man makes plans    amp  God laughs  Michael Chabon  It should be added    amp  his wife scoffs  amp  does what she wants anyway  ,Positive
Wives  DO NOT withhold sex as a punishment  Put on your big girl panties  and let him take them off   ,Negative
Love doesn t delight in evil but rejoices w the truth  It always protects  trusts  always hopes  always perseveres    Corinthians        ,Positive
 Aw  Remember when u gave me this chapstick when we were dating     Remember when u promised me sex    times a week when we were dating    ,Positive
 PB  has like     less calories than peanut butter    Cool story babe  suck my dick  ,Positive
 If Ann Cooter coulter  is sooo great  why don t you just go marry her  ,Positive
Worry does not empty tomorrow of its sorrow  it empties today of its strength    Corrie Ten Boom,Negative
RT   Adam wasn t lonely because he was imperfect but because he was perfect  The ache for friends is not the result of sin ,Positive
https   t co XI H mI  P careful  It s thick enough to paint with  ,Positive
   lied  A man might forget where he parks or where he lives  but he never forgets oral sex  no matter how bad it is  ,Negative
Lord     you have made us for yourself and our hearts are restless until they find their rest in you    St  Augustine,Negative
RT   We may impress people with our strengths but we connect with people through our weaknesses  #struggles #lifechurchtv,Positive
RT   Love is counting someone else s needs and interests as more important than your own needs or interests ,Positive
Let him kiss me with the kisses of his mouth  For your love is better than wine   Song of Solomon     ESV ,Positive
It s #WifeAppreciationDay  What are you doing for your lovely spouse ,Positive
 I fear only God     And one woman  ,Negative
  The myth of the seven year itch and the magnificence of lifelong marriage  http   t co sjVsoVhoJi,Positive
Women are made to be loved  not understood   Oscar Wilde,Positive
 saw a     grand marquis pull up  amp  thought   Oh  shoot I m going to have to go all tactical   But then I realized it was just the lawn guy  ,Positive
Happy wife  happy life ,Positive
 I like my scotch older than my wife   #Goodlife #Lagavulin  ,Positive
 I m going to take out the trash  Because you jumped my bones on the side of the road like a good woman  ,Positive
 Whew  Babe did you put on deodorant today     No  it scares the deer away    It also scares your WIFE away   #naturalbirthcontrol,Negative
