tidy_tweet,Sentiment
Samantha   a  team member   writes about her family s struggle with #studentdebt and #homeownership    https   t co uzJx ZOSDR,Negative
This is BAD for the #economy   https   t co ygNWwoPymw,Negative
Last year was difficult for #students and #families   https   t co kY lv ve A,Negative
   states     governors    call to create a #StudentLoan Borrower #BillofRights to protect people   https   t co ANu e lBWe,Positive
A great ally to #studentloan borrowers in #Wisconsin is moving on   s  says some of th  https   t co SqYOAMag d,Positive
IMPORTANT INFORMATION   https   t co GrUU VWKKG,Positive
 Putting the stories of real people hurt by student debt is our number one mission  Please  share your  https   t co Qwf o   o ,Negative
RT     People impacted by #studentdebt are often held back by other obstacles  lower wages  healthcare  ,Negative
RT    Now that we know that #studentdebt is a top priority for American voters  what steps can we take to make sure ,Positive
RT   Thank you  and  for hosting this vital discussion  Lowering the cost of #college and ending the #stud ,Positive
Thank you  and  for hosting this vital discussion  Lowering the cost of #college and ending the  https   t co GM S cnnR ,Positive
 Now that we know that #studentdebt is a top priority for American voters  what steps can we take to make  https   t co  DRdFyQR a,Positive
#StudentDebt can feel both crushing   and endless  Just ask these #millennials   https   t co b CfGISOTg,Negative
People between the ages of    and    now owe MORE money in #studentdebt debt than do younger #college graduates   https   t co  OCxz de y,Negative
REPORT  #Studentdebt prevents homeownership    https   t co eBVNHabFXf,Positive
Harmed by the shutdown  Contact your loan servicer and the U S  Department of Education     https   t co RWmudpAyg ,Negative
When #students are drowning in #studentdebt  they can t afford to bring their talents back home to #rural America   https   t co qvQfVHDWaG,Positive
  wants to kick banks charging ridiculous fees off of #college campuses  https   t co LWTeq   mP,Negative
#Studentdebt is creating a #housing crisis       https   t co BWwTazXpRe,Negative
#Women carry two thirds of America s #studentdebt burden  Enough is enough    https   t co ZPFlulWk  ,Negative
Without accurate information #students are vulnerable to scams by predatory # profit schools  Read our letter to U   https   t co lR ePFutmu,Negative
RT    Without critical protections in place  students could wind up wasting their precious GI Bill dollars and Pell Grants  ,Negative
This administration wants to destroy decades of #GIBill safeguards that protect #veterans from predatory #education  https   t co UwpE RXXHj,Positive
Hundreds of thousands of dreams crushed by #studentdebt    https   t co ygNWwoxXuY,Negative
RT   We joined allies to send an urgent message to #Congress      https   t co k bjgrScAx,Positive
We joined allies to send an urgent message to #Congress      https   t co k bjgrScAx,Positive
No surprise here     https   t co CuzZgPvNT ,Negative
Your letter to #Congress will demand #studentdebt forgiveness  expanded #consumer protections  and debt free  https   t co aS aTgBFTP,Positive
  End this crisis NOW    https   t co NZyyn    k,Negative
Let s get to work #Congress      Americans have spoken  they want #Congress to eliminate #studentdebt    https   t co gsn opXlz ,Positive
This is a broken system  We intend on fixing it    https   t co Cs Azrbrcm,Negative
Going to #college should help people achieve the #AmericanDream  Not crush it    https   t co uzJx ZOSDR,Positive
Another legal win for victims of predatory for profit schools          https   t co SCSYjBZyJk,Positive
RT      Don t forget to protect people with #studentdebt  too  Here s our letter urging you ,Positive
   Don t forget to protect people with #studentdebt  too  Here s our letter urgin  https   t co GSme YEPwf,Positive
RT      Thank you   for making it clear that investing in #education and #college ,Positive
   Thank you   for making it clear that investing in #education and  https   t co eljI AntkA,Positive
RT   YES      asks   why  doesn t pay for millions of people to go to #college instead ,Positive
YES      asks   why  doesn t pay for millions of people to go to #college in  https   t co Vf UG NY h,Positive
RT   You can expect to see thousands of students voicing their support for free community #college     https   t co u fmfszJe ,Positive
You can expect to see thousands of students voicing their support for free community #college     https   t co  fCfn ANu ,Positive
RT   We urged every #governor in America to protect you     https   t co ANu e lBWe,Positive
We urged every #governor in America to protect you     https   t co ANu e lBWe,Positive
Congress made a promise    Americans who provide over a decade of public service will have their #studentloans forg  https   t co   zN ZLnEr,Positive
Here s a common sense solution   boosted enrollment of low income #students by offering them affordable  https   t co DB pinW yg,Positive
 Dear Member of #Congress  We urge you to support a strong Higher Education Act that minimizes waste  fraud  and ab  https   t co csTIIAkDbg,Positive
  Thanks for keeping us posted   Our work is driven by real #studentloan borrowers  li  https   t co  XHDE AxAO,Positive
RT    had to make multiple email and phone inquires to  to get a basic interest accrual summary  I m pro ,Positive
 Don t stop paying your loans   #Shutdown  https   t co GrUU VWKKG,Negative
   We agree   action must be taken to end the #studentdebtcrisis  That is why we  https   t co L Y rE tRt,Positive
RT    High school is free  Community college should be  too   #Chicago mayor  writes in    https   t  ,Positive
RT   Send a letter urging #Congress to forgive #studentdebt and make #college free for the future   https   t co zFI cw zQ ,Positive
RT   Forgive my flood about student debt today   I just did my counseling for a graduate program   After bills and student l ,Negative
 High school is free  Community college should be  too   #Chicago mayor  writes in    https   t co YHpYBsc aS,Positive
RT   Our team joins  and other allies to discuss policy solutions in #California   https   t co FMjR f tEx,Positive
Our team joins  and other allies to discuss policy solutions in #California   https   t co FMjR f tEx,Positive
Send a letter urging #Congress to forgive #studentdebt and make #college free for the future   https   t co zFI cw zQ ,Positive
Changes to the disclosure information for profit colleges have to transparently share  would leave prospective stud  https   t co rCzffxOoHw,Positive
  are serious about #studentdebt and how the cost of #college exacerbates racial #inequality  We will be  https   t co U iMlkoIEF,Negative
RT    The #shutdown has been really  really stressful for me  I ve recently finished college  and I m trying to enroll in an ,Negative
 The #shutdown has been really  really stressful for me  I ve recently finished college  and I m trying to enroll i  https   t co  njyQsEVlG,Negative
RT   The state of NY just settled with a student loan company advocates had long criticized for mistreating borrowers  https  ,Negative
Today   becomes governor of #California and he already has BIG PLANS for free community #college  https   t co  LGdHdaTdp,Positive
Fed up with #studentdebt  So are we  Tell #Congress to forgive #studentdebt and make #college free for future gener  https   t co BVOSktI HL,Positive
NEWS  The government shutdown has blocked access to federal #studentloans for some needing financial aid to attend  https   t co WFMITQu  L,Negative
#California Governor  will propose a full two years of free community #college in his first budget next  https   t co fEbQdGiDMs,Positive
RT   Hey    Supporter Ashley  is waiting to hear back from you  Are you ready to end the #studentdebtcrisis  http ,Positive
Hey    Supporter Ashley  is waiting to hear back from you  Are you ready to end the #studentdebtcrisis  https   t co IHjztglFu ,Positive
RT   Agreed  no idea why focus from lawmakers isn t on debt forgiveness but rather debt free University  Both are important  but o ,Positive
RT    Yes   The solution is #studentdebt forgiveness for borrowers crushed by unfair loans   #debtfree #college to ,Positive
RT   A new #Congress is in power  Will you send a letter demanding #studentdebt forgiveness and #debtfree #college now   http ,Positive
A new #Congress is in power  Will you send a letter demanding #studentdebt forgiveness and #debtfree #college now   https   t co PammdWRHbv,Positive
#Students should never have to pay for fraudulent #education companies   https   t co tCDJbGjSQ ,Negative
Attorneys general across America are standing up for people harmed by  #studentloan companies     https   t co tze uf Pkb,Negative
