tidy_tweet,Sentiment
Human urine has been a useful diagnostic tool since the earliest days of medicine  The color  density  and smell of  https   t co TUGownPqZh,Positive
  natural ways to boost your sex life  https   t co tCnu TRixH https   t co  edofGlGGC,Positive
Too cold to run outside  Here s the    best ways to make the most of your treadmill workout  https   t co EVeI CoWet https   t co kzqBHYOi t,Positive
Are you aware of this inexpensive therapy that can reduce anxiety  lower blood pressure  and ease pain   https   t co M AcnRkdF ,Negative
 I had two heart attacks in my twenties    This is what caused a health eating  marathon training     year old to h  https   t co pRpU BkBqz,Negative
The pineapple trick that will change your life  https   t co YZohjumuEj https   t co vfYS vdqhl,Negative
Do you experience the constant urge to urinate  frequent urination  or discomfort while urinating  Then  you may ha  https   t co tAgYHLvlLz,Negative
The simple walking test that can help diagnose dementia  https   t co  eNi mwbjk https   t co f Mq PfzfH,Positive
If you have been living with dry  itchy  eyes    you probably want to read this https   t co Gw MtejQ W https   t co EAOmlenFVC,Negative
This surprising drug may be the future of treating depression  https   t co jXWtt SmLV https   t co ceXRCkx q ,Negative
Having trouble sleeping  This could be why  #sleep #MS #everydayhealth https   t co GRGgC laqp https   t co ZNfwljUogi,Negative
Are you tired or fatigued  Have you been experiencing joint pain  These may all be physical signs of something larg  https   t co L KUsmWUUY,Negative
Does this cold weather have you feeling depressed and unmotivated  Here are    ways to cope  #depression #coping  https   t co SrrbjpbB f,Negative
Let s break down the common and rare  severe complications that can occur with untreated #tonsillitis  https   t co mEvXxaosn ,Negative
Symptoms of #acutebronchitis   coughing  a sore throat  and excess mucus and phlegm   may be irritating  but there   https   t co pNc qL Ap ,Negative
These   #BreakfastBowl #recipes are healthier than your go to morning cereal and just as quick and easy to make  Le  https   t co U   i  VbW,Positive
Why is this a HUGE improvement  An estimated        of patients make mistakes using inhalers and don t get enough m  https   t co  QIJxv jWt,Positive
 Thanks for sharing this great resource       ,Positive
Just another important research driven reminder that staying active is important for your body  soul  and MIND  https   t co nwPDlNifw ,Positive
Heart disease and diabetes go hand in hand  so it makes sense that the same prevention tools that work for one also  https   t co vSXyPyTFDk,Positive
RT        saw the  nd greatest annual number of US #measles cases since         reason     unvaccinated travelers  mostly US re ,Positive
Your #EverydayHealth matters most  so set and track your #health goals all year long with this monthly checklist   https   t co MBn F mWMx,Positive
Prior studies suggested that eggs could raise your risk for the disease  but new studies have cracked the whole tru  https   t co jbmLLsbnlF,Negative
 If I let up on my hyper diligence to  get better   when I skip my walk  neglect to do my stretches  stop monitorin  https   t co eVzoXS Jud,Negative
Boost your mood with this list of    patient approved natural #supplements for #depression   including #probiotics   https   t co CF V   VI ,Positive
RT   How do eggs affect your risk for #T D  AADE spokesperson Sandra Ar valo shares her perspective in this article from  ,Positive
Your body can take longer to recover if you don t treat your actual issue fast enough    Here s a guide to help you  https   t co  V JghO P ,Positive
What you may have heard about the abuse of #Ketamine as a recreational drug couldn t be farther from the truth of w  https   t co lVk eXFR v,Negative
Having trouble conceiving  Men who have had trouble impregnating their partners may want to ask a physician for a b  https   t co EAUyZB mSd,Negative
In #Hollywood  where a woman s age can be a liability  more and more actresses are speaking out about the realities  https   t co LQcXCkSg J,Negative
Start these practices at the top of the #newyear  so you can avoid a sluggish system all year round    Bad Eating H  https   t co ZJEZ lv Jh,Negative
Topics explored this week include racial disparities in breast cancer care  gender differences in who responds to t  https   t co aTIwEbMqUS,Negative
Happy #NationalQuinoaDay  Learn why this carb staple s popularity continues to rise  in this detailed  https   t co XifCM oGvC,Positive
RT    Thank you for letting me share my story on EH  but also what I ve since learned about nutrition  amp  #diabetes ,Positive
Save your money for vacation or something you should really invest in   movement shouldn t cost much   https   t co WRtWAYY wH,Positive
Beyond Exhausted  Here s why your sleepy  painful  cranky symptoms might actually be signs of  https   t co suoQ SBWbD,Negative
Have you ever gotten sudden nervous sweats or a tight chest after seeing something with tons of circular holes in i  https   t co yQK xgHK Y,Negative
Take a moment and figure out what ingredients make you feel great  good  and just plain BLAH  What are you adding a  https   t co T NXhFHQ X,Positive
Problem  #Parkinsons Symptoms can be so subtle in the early stages that they go unnoticed  leaving the disease undi  https   t co  Gv cFXDBi,Negative
A fever  body aches  runny nose  and sore throat are not just signs of the flu   they re also all characteristics o  https   t co mGD ASxo K,Negative
 A   We ve got a resource that helps with helping people eat more fruits and veggies #MoreMatters  https   t co p UKwdfyQY,Positive
RT   A   We re reducing our #foodwaste  Freeze leftovers or opt for a frozen meal   #morematters #minichanges https   t co vYmeLFONPl,Positive
Wow  Gender also played a part in ensuing health problems  Males developed circulatory disorders and metabolic synd  https   t co LlXlygk uR,Positive
 Proud of you     This was an incredibly insightful transformation story   not just in terms  https   t co l  ImhPJnN,Positive
  After watching the first season of #TidyingUp with    Super clean   Thanks fo  https   t co DmTsnNpbyi,Positive
 Thanks for sharing this with your audience    We ve got lots more #Diabetes content where that c  https   t co ntqC C  QI,Positive
 Thanks for sharing this resource with your readers   ,Positive
The joy of parenting may be priceless  but #fertility treatments have a definite price tag  Those can range from te  https   t co NBSYAgIaa ,Positive
The science behind why the work between your workouts matters for your muscles and joints  https   t co TtEMtWe   ,Positive
Today is #NationalCleanOffYourDeskDay  so do yourself a solid and cleanse your workspace with this #fengshui advice  https   t co  cSoNIWXmp,Positive
There are lots of books out there on the #keto #diet  but registered dietitians say THESE reads can help set you up  https   t co thtCVDmwaY,Positive
